,Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,W_min_sum,Total Comsumption
1938,2013-03-22 19:00:00,2.09145240927,0.562474530419,0.0,0.524656588226,0.0,0.0138874405114,0.0138874405114,0.0138874405114,0.423443003842,0.0912208713508,0.397476839177,0.549047001788,0.569733252605,0.0,5.251166818211999
1939,2013-03-22 20:00:00,2.28213174401,0.917491811472,0.0,0.878456258539,0.0,0.0231302494865,0.0231302494865,0.0231302494865,0.632785621435,0.136318823665,0.322310374418,0.566724471466,0.584218203543,0.0,6.3898280570075
1940,2013-03-22 21:00:00,2.27481629572,1.07771784154,0.0,1.03734029827,0.0,0.0270975674454,0.0270975674454,0.0270975674454,0.680363467342,0.146568353601,0.2859788881,0.586207704176,0.531956315054,0.0,6.702241866139201
1941,2013-03-22 22:00:00,2.06177659184,1.60001078359,0.0,1.5605759067,0.0,0.0405991601937,0.0405991601937,0.0405991601937,0.570934389888,0.122994427883,0.269710329714,0.572521921199,0.46837236296,0.0,7.348694194355103
1942,2013-03-22 23:00:00,1.67452468052,2.221180096,0.0,2.18705426379,0.0,0.0566566112702,0.0566566112702,0.0566566112702,0.4282007725,0.092245820912,0.217943329922,0.495444351795,0.367389794121,0.0,7.853952943370601
1943,2013-03-23 00:00:00,1.28953548926,2.82097591058,0.0,2.79132119739,0.0,0.0719729967753,0.0719729967753,0.0719729967753,0.29974054075,0.064572079787,0.147779360955,0.430531922814,0.258294588177,0.0,8.3186700800389
1944,2013-03-23 01:00:00,0.885918112276,3.43913401391,0.0,3.41460504916,0.0,0.0876612926874,0.0876612926874,0.0876612926874,0.152249154704,0.0327985060931,0.0982793958339,0.356115477877,0.14217028508,0.0,8.784253872996201
1945,2013-03-23 02:00:00,0.727553614904,3.92778281841,0.0,3.90519810306,0.0,0.099889644309,0.099889644309,0.099889644309,0.0903979231577,0.0194741103112,0.0838690425574,0.327888550488,0.0893903440813,0.0,9.471223439896601
1946,2013-03-23 03:00:00,0.672225617452,4.31866623321,0.0,4.29634336963,0.0,0.109595557968,0.109595557968,0.109595557968,0.0618512235796,0.0133243957819,0.0715840655737,0.324086944105,0.0751394304441,0.0,10.1620079536803
1947,2013-03-23 04:00:00,0.672233411944,4.64124867744,0.0,4.61924003599,0.0,0.117537606149,0.117537606149,0.117537606149,0.0618512235796,0.0133243957819,0.064112104549,0.319525016446,0.0792390654374,0.0,10.823386749614901
